saham,tanggal_berita,judul,isi
bbni,,,"), PT Bank Negara Indonesia Tbk ( ), dan PT Bank Central Asia Tbk ( ) kompak mencatatkan pertumbuhan kinerja laba bersih hingga dua digit.  Pertumbuhan laba bersih tertinggi dicatatkan oleh BBNI, di mana laba bersihnya mencapai Rp 4,3 triliun atau tumbuh hingga 84,04%.  Emiten berbasis batubara juga berhasil mencetak kinerja ciamik. Ambil contoh PT United Tractors Tbk ( ), membukukan laba bersih senilai Rp 4,32 triliun sepanjang kuartal pertama 2022.     Angka ini melesat 131,51% dari laba bersih di periode yang sama tahun sebelumnya yang hanya Rp 1,86 triliun.  PT Adaro Energy Indonesia Tbk ( ) juga berhasil mencetak kinerja mentereng di tiga bulan pertama 2022. ADRO membukukan laba bersih senilai US$ 400,07 juta sepanjang kuartal pertama 2022. Jumlah tersebut melesat 457,6% dari laba bersih di periode yang sama tahun sebelumnya yang hanya US$ 71,74 juta.  Emiten berbasis minyak dan gas (migas) seperti PT Perusahaan Gas Negara ( ) dan PT AKR Corporindo Tbk ( ) juga berhasil mencetak kinerja apik, dengan mencatatkan pertumbuhan laba bersih dua digit.  Analis Samuel Sekuritas Indonesia Farras Farhan menilai, kinerja kedua PGAS dan AKRA sejalan bahkan melebihi ekspektasi yang dipasang, terutama untuk AKRA.  Tahun ini, kinerja AKRA akan didorong oleh kawasan industri Java Integrated Industrial and Port Estate (JIIPE) di Gresik. Sementara untuk PGAS, sentimen datang dari Kementerian Energi dan Sumber Daya Mineral (ESDM) yang berencana menaikkan harga bahan bakar gas.  “Sebenarnya ini akan berpengaruh ke PGAS, tapi memang kami melihat apabila adanya sentimen tersebut juga tidak terlalu berdampak signifikan,” terang Farras kepada Kontan.co.id, Jumat (13/5).          "
bbni,,,"Kemudian Ketua Dewan Direktur merangkap Direktur Eksekutif LPEI Rijani Tirtoso, Direktur Pelaksana Bidang Pembiayaan LPEI Dikdik Yustandi, dan Direktur Pelaksana Bidang Pengembangan Bisnis LPEI Maqin U Norhadi di Grha BNI di Jakarta, Senin (25/4).  Royke menyebut tujuan kerjasama ini sejalan dengan komitmen BNI untuk mendukung mitra UMKM agar dapat naik kelas dan masuk pasar global. BNI tidak hanya berperan sebagai lembaga intermediasi, tetapi juga sebagai kolaborator yang mempertemukan mitra UMKM dengan para stakeholder.    “Kami mengapresiasi LPEI yang ikut berperan aktif bersama BNI dalam mencari solusi-solusi untuk dapat membantu sekaligus mendorong para pelaku UMKM untuk tidak sekadar memanfaatkan pasar dalam negeri, tetapi juga pasar luar negeri yang potensinya juga tak kalah besar,” kata Royke, dalam keterangan resmi, Senin (25/4).  Royke mengutarakan, BNI memiliki infrastruktur yang sangat memadai dalam mendukung UMKM Go Global melalui program BNI Xpora.  , BNI memiliki program khusus untuk pembiayaan UMKM ekspor.  ""BNI juga mampu memberikan suku bunga menarik dan persyaratan agunan yang lebih ringan melalui kerjasama dengan perusahaan penjaminan,"" terangnya.  , BNI memiliki jaringan yang luas di luar negeri yakni kantor cabang luar negeri (KCLN) dan jaringan bank mitra koresponden akan mempermudah UMKM dalam melakukan melakukan  serta transaksi ekspor.  , BNI memiliki layanan cash management terbaik yang tentunya tentunya mempermudah UMKM dalam bertransaksi. Cash Management Services BNI kerap diakui menjadi yang terbaik dibandingkan peers,  antara lain sebagai The Best Cash Management Bank in Indonesia pada Annual Best FI Award setiap tahunnya.    “Sebagai bank BUMN kami dapat bertindak sebagai kolaborator yang mempertemukan UMKM dengan stakeholder lainnya menggunakan Open API (Application Programming Interface),” imbuhnya.  Rijani bilang, sebagai sesama agen pembangunan BNI dan LPEI perlu bekerja sama dengan erat dalam konteks pengembangan berbagai potensi ekonomi yang dimiliki oleh negeri. Saat ini, LPEI tengah fokus pada peningkatan fungsi Lembaga dalam hal meningkatkan ekspor khususnya di segmen UMKM.  Tidak hanya meningkatkan pembiayaan, LPEI juga proaktif membentuk ekosistem yang produktif yang menjamin keberlanjutan ekspor segmen UMKM. Di samping itu, fokus pada optimalisasi jasa konsultasi strategis guna mengembangkan ekspor UMKM lebih progresif.  “Pertemuan kami kali ini hanya format yang kami formal kan, tetapi kerja sama kami dengan BNI sudah sangat lama. Ini mengukuhkan kembali bahwa hubungan BNI dan LPEI memang harus semakin diperluas,” pungkas Rinjani.         Cek Berita dan Artikel yang lain di "
bbni,,,"“Artinya, arah kinerja BBNI ini sudah benar. Tapi kami melihat dibutuhkan akselerasi dalam mengembangkan bisnis khususnya pada sektor yang tengah  sekarang di sektor  bank digital,” ujar Nico kepada Kontan.co.id pada Selasa (16/4).   Oleh sebab itu, ia menilai langkah BNI membeli Bank Mayora yang akan ditransformasi menjadi bank digital sudah tepat. Lantaran, BNI bisa melakukan disrupsi digitalisasi tanpa harus mengorbankan bisnis yang sudah ada.     “Kali ini, bukan main-main., bukan BNI akuisisi Bank Mayora, tapi yang digandeng oleh BNI yakni Sea limited yang punya ekosistem yang besar. Namun, ada yang harus menjadi  kita, akan seperti apa kerjasamanya nanti,” jelasnya.   Sebab, Sea Limited telah membeli Bank Kesejahteraan Ekonomi dan mentransformasi menjadi Sea Bank yang sama-sama jadi bank digital. Sehingga, pola kerja sama antara kedua entitas terhadap pengembangan Mayora.          “Tidak mungkin Sea bermain di dua kaki, ya bisa saya dia akan fokus utama ke Sea Bank. Bank miliknya sendiri akan dibesarkan dan dikembangkan ke dalam ekosistem dia sendiri. Ketimbang gabung dengan bank lain. Sehingga bentuknya tidak belum kelihatan dan harus kita telaah lagi lebih jauh,” tambahnya.   Terkait target harga BBNI, Nico menyatakan target yang ditetapkan oleh Pilarmas sudah tercapai. Sebelumnya, ia menargetkan saham BBNI bisa mencapai Rp 9.200 sedangkan saat ini sahamnya dibanderol Rp 9.600.  Direktur Utama BNI Royke Tumilaar menyatakan aksi akuisisi Bank Mayora yang akan dijadikan sebagai bank digital yang fokus menggarap segmen UMKM telah rampung.     “Sekarang sedang membuat dan menyusun persiapan untuk pengembangan bisnis Bank Mayora. Di dalamnya sudah terlibat tech partner kita. Tech partner kita itu Sea Limited atau pemilik Shopee,” ujar Royke pada paparan kinerja Kuartal 1-2022 secara virtual pada Selasa (26/4).   Ia melanjutkan, BNI bersama Sea telah melakukan penyusunan model bisnis model maupun mendesain IT bagi Bank Mayora. Oleh sebab itu, telah terbentuk tim yang berbasis di Indonesia maupun di luar negeri dalam membangun teknologi tersebut.   “Tapi Sea Limited memang belum menjadi pemegang saham Bank Mayora. Tetapi, pada waktu tertentu, kita terbuka untuk terdilusi dari 60% an menjadi 50% an. Apabila Sea mau terlibat dalam kepemilikan saham,"" jelas Royke.   "
bbni,,,"Bahkan, BNI dipercaya oleh pemerintah untuk mendapat tambahan alokasi KUR hingga Rp 38 triliun per 2022. Nilai tersebut naik 22,7% dibandingkan 2021 yang hanya Rp 30,95 triliun.    “Upaya yang kami lakukan ini adalah untuk menjaga momentum pertumbuhan segmen UMKM BNI. Tentunya tren ini akan terus dipertahankan sehingga dapat membantu lebih banyak pelaku UMKM mampu meningkatkan kinerja pada tahun ini,” kata Sis Apik, dalam keterangan resmi, Minggu (22/5).  Sis menyampaikan, perseroan memiliki tiga strategi utama yang digunakan BNI untuk mendukung mendongkrak kinerja KUR tahun ini.  , perusahaan mendorong penyaluran KUR berbasis klaster. Salah satunya dengan fokus menggarap potensi sektor pertanian daerah.  , bank pelat merah ini akan meningkatkan pembiayaan kepada mitra debitur korporasi melalui skema  , menggunakan tools digitalisasi kredit serta kerjasama dengan mitra strategis.  ""Hal ini untuk mendukung optimalisasi big data UMKM yang akhirnya mempercepat penyaluran sekaligus meningkatkan kualitas kredit,” terangnya.     Cek Berita dan Artikel yang lain di "
bbni,,,"""Kerjasama itu bisa menciptakan perjanjian sindikasi dan perdagangan. Sehingga dapat mendukung bisnis BNI ke depan bisa lebih baik lagi,"" kata Gandi, dalam keterangan resmi, Kamis (2/6).    Ia memperkirakan investasi yang berasal dari Korea Selatan cukup besar sehingga dapat meningkatkan peluang ekspor impor dari kedua negara. Kerja sama ini juga berguna untuk menarik investor asal negeri ginseng secara lebih optimal dan efisien.    ""Kami berharap pemerintah bersama Dewan Perwakilan Rakyat (DPR) segera mengesahkan payung hukum Indonesia Korea Comprehensive Economic Partnership Agreement (IK-CEPA),"" terangnya.  BNI terus memperluas bisnis internasional dengan menciptakan peluang bisnis baru, seiring meningkatnya pertumbuhan ekonomi nasional. Salah satunya melalui sinergi dengan KB Kookmin Bank.  Direktur Treasury dan Internasional BNI Henry Panjaitan bilang, perusahaan bekerja sama dengan KB Kookmin terkait transaksi  , kredit sindikasi,  dan pendanaan dalam mata uang lokal.         Kemudian pertukaran informasi nasabah yang ingin melakukan perdagangan atau berinvestasi di negara asal kedua bank.  Melalui kerjasama ini, BNI juga memfasilitasi masuknya investasi negara Korea Selatan ke Indonesia.  ""Ke depannya, kami berharap kedua bank dapat meningkatkan hubungan yang lebih erat sekaligus menghasilkan transaksi-transaksi bisnis yang saling menguntungkan kedua belah pihak,” tambahnya.    Kerjasama ini juga mencakup pertukaran informasi nasabah karena BNI memfasilitasi eksportir untuk memperluas pasarnya hingga ke Korea Selatan, dengan menghubungkan mereka kepada importir Korea Selatan yang merupakan nasabah KB Kookmin Bank.       Cek Berita dan Artikel yang lain di "
antm,,,"Mencatatkan harga tertinggi Rp 390 dan harga terendah Rp 362, harga saham GOTO ditutup turun Rp 18 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 368 per saham. Di lain sisi, harga offer terendah di Rp 370 per saham.  Jika dihitung sejak 7 hari yang lalu (24 Juni 2022), harga saham GOTO hari ini turun -5.61 % dibanding harga saat itu (Rp 392).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham GOTO mencapai Rp 414,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 10.998.674 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp -22, maka price to earning ratio (PER) saham ini -17,64 kali. Adapun price to book value-nya (PBV) 3,37 kali.      Dari penutupan Kamis (30/6), harga saham ANTM turun 2,78% dari Rp 1.800. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 1.795 per saham.  Mencatatkan harga tertinggi Rp 1.810 dan harga terendah Rp 1.750, saham ANTM ditutup turun Rp 50 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 1.750 per saham. Di lain sisi, harga offer terendah di Rp 1.755 per saham.    Kalau dihitung sejak 7 hari yang lalu (24 Juni 2022), harga saham ANTM hari ini turun -11.17 % dibanding harga saat itu (Rp 1.970).  Adapun sejak setahun lalu (01 Juli 2021) harga saham ANTM turun -21.52% dari harga saat itu (Rp 2.230).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 203,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.149.760 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 7,38 kali. Adapun price to book value-nya (PBV) 1,94 kali.  Cek Berita dan Artikel yang lain di "
antm,,,"Mencatatkan harga tertinggi Rp 416 dan harga terendah Rp 398, saham GOTO ditutup naik Rp 4 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 402 per saham. Di lain sisi, harga offer terendah di Rp 404 per saham.  Kalau dihitung sejak 7 hari yang lalu (08 Juni 2022), harga saham GOTO hari ini sudah naik 6.88 % dibanding harga saat itu (Rp 378).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham GOTO mencapai Rp 1.478,10 miliar, sedangkan volume saham yang ditransaksikan mencapai 36.249.549 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp -22, maka price to earning ratio (PER) saham ini -18,18 kali. Adapun price to book value-nya (PBV) 3,48 kali.      Dari penutupan Selasa (14/6), harga saham ANTM turun 0,46% dari Rp 2.180. Saham ANTM dibuka sama dengan harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.180 per saham.  Mencatatkan harga tertinggi Rp 2.240 dan harga terendah Rp 2.120, saham ANTM ditutup turun Rp 10 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.170 per saham. Di lain sisi, harga offer terendah di Rp 2.180 per saham.    Kalau dihitung sejak 7 hari yang lalu (08 Juni 2022), harga saham ANTM hari ini turun -10.33 % dibanding harga saat itu (Rp 2.420).  Adapun sejak setahun lalu (15 Juni 2021) harga saham ANTM turun -8.05% dari harga saat itu (Rp 2.360).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 205,80 miliar, sedangkan volume saham yang ditransaksikan mencapai 948.725 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,93 kali. Adapun price to book value-nya (PBV) 2,35 kali.  Cek Berita dan Artikel yang lain di "
antm,,,"Mencatatkan harga tertinggi Rp 4.410 dan harga terendah Rp 4.310, saham BBRI ditutup turun Rp 60 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 4.320 per saham. Di lain sisi, harga offer terendah di Rp 4.330 per saham.  Kalau dihitung sejak 7 hari yang lalu (15 Juni 2022), harga saham BBRI hari ini turun 2,92% dibanding harga saat itu (Rp 4.450).  Adapun sejak setahun lalu (22 Juni 2021) harga saham BBRI sudah naik 6,93% dari harga saat itu (Rp 4.040).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BBRI mencapai Rp 462,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.062.085 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 321, maka price to earning ratio (PER) saham ini 13,64 kali. Adapun price to book value-nya (PBV) 2,44 kali.      Dari penutupan Selasa (21/6), harga saham ANTM turun 6,05% dari Rp 2.150. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.140 per saham.  Mencatatkan harga tertinggi Rp 2.140 dan harga terendah Rp 2.020, harga saham ANTM ditutup turun Rp 130 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.010 per saham. Di lain sisi, harga offer terendah di Rp 2.020 per saham.    Bila dihitung sejak 7 hari yang lalu (15 Juni 2022), harga saham ANTM hari ini turun 6,91% dibanding harga saat itu (Rp 2.170).  Sejak setahun lalu (22 Juni 2021) harga saham ANTM turun 10,62% dari harga saat itu (Rp 2.260).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 353,50 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.715.082 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,81 kali. Adapun price to book value-nya (PBV) 2,32 kali.  Cek Berita dan Artikel yang lain di "
bbni,,,"“Khusus untuk KUR BNI kami meyakini keberadaan Fintech P2P tidak menjadi kendala dalam penyaluran karena BNI dan Fintech P2P memiliki target konsumen yang berbeda sesuai dengan kebutuhan target konsumen masing-masing institusi,” jelasnya kepada Kontan.co.id pada Jumat (20/5).  Tecermin dari penyaluran KUR BNI meningkat 14% yoy mencapai Rp 11,3 triliun per April 2022. Atas pencapaian tersebut BNI telah mencapai 30% dari total alokasi yang dipercayakan di tahun ini.    Ia menyebut sektor perdagangan masih menjadi sektor paling dominan di tahun 2022. Namun sektor pertanian mengalami pertumbuhan penyaluran yang signifikan yang berkontribusi hingga 28% di April 2022.  “Sampai dengan akhir tahun kami yakin permintaan akan KUR akan terus meningkat seiring dengan pertumbuhan ekonomi Indonesia yang diprediksi kembali pulih di angka 5%, berkat kondisi tersebut BNI optimis dapat menyalurkan alokasi KUR sebesar Rp 38 triliun di 2022,” pungkas Sunarna.            Cek Berita dan Artikel yang lain di "
bbni," Jumat, 22 April 2022 | 08:20 WIB , ","Harga Saham Bank BBNI Melesat Lewati BBCA BMRI, Apa Masih Prospektif untuk Investasi?","Saham PT Bank Mandiri Tbk ( ) ditutup melonjak 5,7% ke level Rp 8.300 setelah di hari sebelumnya naik 3,6%. Sejak awal tahun 2022 ini, harga saham BMRI meningkat 1.250 poin atau 17,73%.  Saham PT Bank Central Asia Tbk ( ) ditutup naik 3,6% ke level Rp 7.925 pada Kamis 21 April 2022. Sejak awal tahun 2022 ini, harga saham BBCA bertambah 600 poin atau 8,19%.  Sementara saham PT Bank Rakyat Indonesia Tbk ( ) pada perdagangan Kamis 21 April 2022 ditutup di level 4.800 turun 50 poin atau 1,03% setelah pada Rabu meningkat 6,1% menyentuh level  . Saham PT Bank Tabungan Negara Tbk ( ) ditutup naik 5,7% ke level Rp 1.760 setelah hari sebelumnya meningkat 2,1%.  Suria Dharma Kepala Riset Samuel Sekuritas mengatakan, kenaikan saham bank BBNI, BBCA, BBRI, BMRI dan BBTN ini sebagai respons terhadap musim rilis laporan keuangan kuartalan dimana kinerja bank diperkirakan membaik di kuartal I 2022.  ""BBCA sudah merilis laba bersihnya naik 14,6%  (YoY) kuartal I. Bank pelat merah akan rilis laporan keuangan minggu depan,"" kata Suria pada KONTAN, Kamis (21/4).   Senada, Associate Director of Research and Investment Pilarmas Investindo Sekuritas Maximilianus Nico Demus juga melihat kenaikan ini dipengaruhi proyeksi kinerja perbankan yang semakin membaik.  Dia melihat, situasi pemulihan ekonomi saat ini menjadi momentum bagi perbankan untuk menorehkan perbaikan kinerja. Pemulihan ekonomi akan semakin mendorong penyaluran kredit. Per Maret 2021, Bank Indonesia mencatat kredit perbankan telah tumbuh 6,65%.  ""Ini jadi katalis pendukung kenaikan saham perbankan. Sementara Saham BBNI semakin diminati karena bank sudah kerjasama dengan Kadin untuk mendukung produk UMKM ,"" jelasnya.   Nico memandang, prospek saham perbankan akan positif sejalan dengan prospek bisnisnya. Kebutuhan ekspansi bisnis korporasi di tengah pemulihan ekonomi akan meningkat sehingga berpengaruh terhadap peningkatan permintaan kredit, terutama segmen UMKM, Korporasi dan KPR.    Menurut Founder & CEO Emtrade, Ellen May, investor saat ini melihat bahwa prospek pertumbuhan ekonomi Indonesia masih ada sehingga akan mendorong pertumbuhan kredit ke depan. Hal itu, lanjutnya, membuat investor terutama institusi masih  masuk ke saham perbankan.   Secara teknikal, Emtrade melihat target  terdekat saham BBCA ada di level Rp 8.075 dan  selanjutnya Rp 8.300 dan area  ada di level Rp 7.625. Sementara target  saham BMRI ada di level Rp 8.475 dan  di area Rp 8.000.   Target  saham BBRI Rp 5.100 yang diperoleh dari proyeksi pola   dan  nya di level Rp 4.660. Target  BBNI ada di level Ro 9.375 yang diperoleh dari level tertinggi di Juli 2019 dan  berada di Rp 8.500. Untuk   BBTN berada di Rp 1.860 dan  di level Rp 1.715 berdasarkan indikator   Sementara Nico merekomendasikan  saham kelima bank ini dengan target harga BBCA Rp 8.359, BMRI Rp 9.169, BBRI Rp 5.199, BBNI Rp 9.192 dan BBTN 2.206.  Itulah rekomendasi saham bank besar untuk perdagangan hari ini, Jumat 22 April 2022. Ingat, disclaimer on, segala risiko investasi atas rekomendasi saham bank ini menjadi tanggung jawab Anda sendiri.  Cek Berita dan Artikel yang lain di "
bbni,,,"Jumlah transaksi BNI Mobile Banking pun masih tumbuh 33% secara tahunan per Mei 2022. Nominal transaksi di BNI Mobile Banking pun ikut terkerek naik 23% secara tahunan.    ""Tentunya raihan ini merupakan cerminan dari upaya kami yang senantiasa melakukan penyempurnaan dan meningkatkan nilai tambah atas layanan yang diberikan melalui BNI Mobile Banking,"" katanya.  Adi Sulistyowati, yang akrab disapa Susi melanjutkan, nilai tambah tersebut berupa pengembangan yang berkelanjutan. BNI menghadirkan berbagai fitur inovatif berdasarkan kebutuhan user, serta pengembangan teknologi baik untuk kebutuhan nasabah ritel maupun bisnis dan tentunya mendukung transformasi layanan ke digital.  BNI juga mendorong pertumbuhan akuisisi user dan aktivasi transaksi melalui berbagai program dan promosi baik dari sisi BNI maupun kerjasama dengan mitra yang turut berperan menghadirkan fitur transaksional di BNI mobile banking seperti e-wallet, provider telekomunikasi,  dan lain-lain.  ""Tentunya semua ini dilakukan dengan harapan untuk menjaga sekaligus meningkatkan daya tarik dan  kepuasan nasabah sehingga meningkatkan penggunaan BNI Mobile Banking,"" katanya dalam keterangan tertulis yang diterima Kontan.co.id, Sabtu (18/6).         Susi berpendapat, persaingan perbankan saat ini fokus dalam memberikan layanan yang reliabel melalui kanal perbankan digital. Bahkan, banyak bank digital maupun lembaga keuangan lain yang turut menghadirkan inovasi layanan baru yang menjadi motivasi bagi BNI untuk tetap menghadirkan layanan prima pada BNI Mobile Banking.  ""BNI pun setiap bulannya rutin meningkatkan layanan mobile banking baik berupa perbaikan secara berkelanjutan, peningkatan kapabilitas, maupun layanan fitur inovasi baru untuk memberikan nilai tambah bagi nasabah pengguna BNI Mobile Banking,"" imbuhnya.  Lebih lanjut, Susi mengutarakan, penguatan layanan digital sangatlah penting dalam membantu masyarakat untuk menekan biaya transaksi karena layanan digital dapat digunakan dari mana saja dan kapan saja, tanpa perlu mendatangi outlet bank. Terlebih ini akan menghemat banyak biaya transportasi masyarakat saat pergi ke bank.  ""Dengan demikian, pengembangan layanan digital BNI juga turut mendukung upaya pemerintah dalam menuju serta memberikan kemudahan, kenyamanan, serta keamanan bertransaksi  yang menjadi faktor utama pertumbuhan ekonomi Indonesia,"" imbuhnya.  Sementara itu, Corporate Secretary BNI Mucharom menyampaikan, BNI Mobile Banking merupakan Product Champion milik BNI yang menjadi sumber pendapatan dan pencetak laba Perseroan.  Seperti diketahui, BNI berhasil membuat lompatan pemulihan kinerja positif pada tahun buku 2021. Kinerja BNI 2021 tercatat sangat menggembirakan di mana laba bersih tersebut mampu melampaui ekspektasi pasar. Pencapaian Laba bersih ini dihasilkan dari Pendapatan Operasional Sebelum Pencadangan (PPOP) yang tumbuh kuat 14,8% yoy sehingga mencapai Rp 31,06 triliun.  ""Pencapaian ini bahkan menjadi yang tertinggi yang pernah dihasilkan BNI, lebih tinggi dari pendapatan operasional sebelum pandemi. Selain itu, upaya perbaikan kualitas kredit melalui monitoring, penanganan, dan kebijakan yang efektif membuat  membaik menjadi 3,3%,"" sebutnya.    Mucharom melanjutkan, ekspansi kinerja BNI ini berlanjut pada 2022. Pada awal tahun ini, profitabilitas tercatat solid, seiring dengan pertumbuhan ekonomi yang menguat.  Kualitas kredit terus membaik sehingga menambah kemampuan perseroan dalam mengakselerasi percetakan pendapatan di awal tahun. Tingginya transaksi keuangan di platform-platform digital pun menjadi sumber pertumbuhan Fee Based Income (FBI) yang mendorong pertumbuhan laba progresif.  Laba bersih pada kuartal pertama tahun ini mencapai Rp 3,96 triliun, tumbuh 63,2% yoy. Pencapaian laba bersih ini dihasilkan dari Pendapatan Operasional Sebelum Pencadangan (PPOP) yang tumbuh kuat 7,3% yoy menjadi Rp 8,5 triliun.  “Kami bersyukur BNI mampu mempertahankan kinerja yang solid pada awal tahun ini. Kinerja ini merupakan salah satu tanda dari pemulihan sekaligus pertumbuhan ekonomi yang lebih baik pada tahun ini. Transformasi digital kami pun mendorong terbukanya potensi-potensi ekonomi baru,” sebutnya.     Cek Berita dan Artikel yang lain di "
antm,,,"Pertama, melakukan pengembangan dan pengelolaan aset yang lebih optimal sehingga dapat mendukung pemenuhan permintaan terhadap komoditas dan produk olahan nikel.  Kedua, akselerasi pengembangan usaha dengan memiliki manajemen yang fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis. Ketiga, membuka peluang kerja sama strategis guna melakukan pengembangan usaha dan mengantisipasi peluang bisnis ke depan.    ANTM sebagai pemilik sumber daya nikel terbesar kedua di Indonesia memiliki inisiatif untuk memanfaatkan momentum peningkatan tren penggunaan kendaraan listrik atau electric vehicle (EV), dengan berpartisipasi dalam pengembangan ekosistem industri baterai EV. Dus, pemisahan ini merupakan salah satu langkah awal ANTM untuk mendukung penggunaan EV Battery.  Manajemen Aneka Tambang menjabarkan, terdapat empat faktor internal yang mendukung rencana ini.  Pertama, optimalisasi pengelolaan aset wilayah izin usaha pertambangan (WIUP). Anak perusahaan diharapkan dapat melakukan pengembangan dan pengelolaan aset WIUP yang lebih intensif dan efektif ke depannya, sehingga pemanfaatan aset nikel dapat dilakukan secara optimal untuk menghasilkan produk-produk akhir dari komoditas nikel yang berkualitas tinggi dan mendukung inisiatif hilirisasi nikel.  Kedua, akselerasi dan diversifikasi pengembangan usaha. Anak perusahaan yang menerima pemisahan juga diharapkan untuk menjadi lebih fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis. Selain itu, rencana pemisahan merupakan salah satu upaya diversifikasi pengembangan usaha, khususnya sebagian segmen usaha nikel yang harapannya dapat mendukung inisiatif hilirisasi nikel.  Ketiga, potensi kerja sama strategis. Anak perusahaan yang menerima spin-off diharapkan dapat membuka kesempatan untuk melakukan kerja sama strategis untuk menciptakan nilai tambah bagi produk anak perusahaan dan memperkuat rantai pasok produksi komoditas nikel.  Keempat, penciptaan nilai tambah untuk pemegang saham. Terciptanya optimalisasi pengelolaan aset, akselerasi dan pengembangan usaha, dan potensi kerjasama strategis diharapkan mampu meningkatan kinerja keuangan dan menciptakan nilai tambah bagi pemegang saham sebagai tujuan akhir dari pemisahan.  “Dengan demikian, rencana pemisahan sebagai salah satu bentuk dari insiatif hilirisasi komoditas nikel merupakan langkah strategis yang dapat berkontribusi dalam pengembangan ekosistem industri baterai untuk kendaraan listrik nasional,” tulis manajemen ANTM, Jumat (1/7).  Emiten pelat merah ini akan  menggelar rapat umum pemegang saham luar biasa (RUPSLB) untuk menyetujui usulan rencana pemisahan pada tanggal 23 Agustus 2022.    Cek Berita dan Artikel yang lain di "
antm,"Rabu, 24 Agustus 2022 | 08:30 WIB ",Aneka Tambang (ANTM) Memisahkan Unit Usaha Nikel,"ini akan dilakukan atas anak usaha ANTM, yaitu PT Sumberdaya Arindo dan PT Nusa Karya Arindo.  ini merupakan bentuk komitmen hilirisasi ANTM untuk meningkatkan performa aset nikel. Anak perusahaan yang menerima  diharapkan dapat memperoleh kesempatan untuk melakukan kerjasama strategis untuk menciptakan nilai tambah bagi produk anak perusahaan dan memperkuat rantai pasok produksi nikel. "
inkp,,,"), PT Indah Kiat Pulp and Paper Tbk ( ), PT Media Nusantara Citra Tbk ( ). Harga ketiga saham itu sempat melemah akibat fenomena    Pada perdagangan Senin 6 Juni 2022, harga saham ASRI ditutup di level 184 naik 13 poin atau 7,60% dalam 24 jam terakhir. Bulan lalu, harga saham ASRI sempat melemah di level 150 pada 19 Mei 2022.  Pada perdagangan Senin 6 Juni 2022, harga saham INKP ditutup di level 8.175 turun 100 poin atau 1,21% dalam 24 jam terakhir. Bulan lalu, harga saham INKP berada dititik terendah di level 7.275 pada perdagangan 12 Mei 2022.  Pada perdagangan Senin 6 Juni 2022, harga saham MNCN ditutup di level 965 turun 5 poin atau 0,52% dalam 24 jam terakhir. Bulan lalu, harga saham MNCN sempat melemah ke level 925 pada 12 mei 2022.  Fenomena  terjadi di pasar saham Indonesia bulan lalu. Setelah fenomena ini, umumnya valuasi saham akan terdiskon.  Analis Investindo Nusantara Sekuritas Pandhu Dewanto menerangkan  terjadi pada sepekan pertama pasca libur lebaran awal Mei lalu. Hal tersebut terjadi karena adanya  yang dipicu oleh kenaikan suku bunga The Fed.    Namun, untungnya hal ini tidak berlangsung lama. Pada pekan selanjutnya, berikutnya kondisi sudah mulai normal kembali dengan seiringan kenaikan Indeks Harga Saham Gabungan (IHSG).  Sepanjang Mei, Pandhu mencermati saham teknologi mengalami koreksi paling dalam. Hal ini disebabkan oleh valuasi sektor ini yang relatif lebih tinggi dibanding sektor lain, ditambah dengan tren kenaikan suku bunga dan kinerja perusahaan.  ""Maka tidak heran jika terjadi peralihan dimana para investor akan kembali menempatkan investasinya ke perusahaan  yang kinerjanya terbukti dan telah teruji bertahun-tahun,"" ujar dia, Senin (6/6). "
